Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Type
Kraftwerk,kraftwerk,63ac68190f44f700e16ae0f8,64f8f393110c5c3851c0b5a1,2023-09-06 21:48:03,2023-09-06 21:48:03,2023-09-06 21:48:03,Large club/venue
Kühlhaus am Gleisdreieck,kuhlhaus-am-gleisdreieck,63ac68190f44f700e16ae0f8,63c46f233b2b76086db2d5f5,2023-01-15 21:24:51,2023-01-15 21:24:51,2023-01-15 21:24:51,
Kultur in der Petruskirche,kultur-in-der-petruskirche,63ac68190f44f700e16ae0f8,6410b4ad4069663e7c43a6f8,2023-03-14 17:53:49,2023-03-14 17:53:49,2023-03-14 17:53:49,Large club/venue
Kulturbrauerei,kulturbrauerei,63ac68190f44f700e16ae0f8,63dbb46d16846d072ef4f28e,2023-02-02 13:02:37,2023-02-02 13:02:37,2023-02-02 13:02:37,Large club/venue
Kulturhaus Insel Berlin,kulturhaus-insel-berlin,63ac68190f44f700e16ae0f8,63fa4be58bb369194e07f67b,2023-02-25 17:56:53,2023-02-25 17:56:53,2023-02-25 17:56:53,Large club/venue
Kulturhaus Kili,kulturhaus-kili,63ac68190f44f700e16ae0f8,63c47ff70a0060009ae438ac,2023-01-15 22:36:39,2023-01-15 22:36:39,2023-01-15 22:37:23,Large club/venue
KulturMarktHalle,kulturmarkthalle,63ac68190f44f700e16ae0f8,64030d6fa141a9c949d3481d,2023-03-04 09:20:47,2023-03-04 09:20:47,2023-03-04 09:20:47,Large club/venue
KVU - Kirche von Unten,kvu-kirche-von-unten,63ac68190f44f700e16ae0f8,63cfc98ecd678e0d2fa3a4a7,2023-01-24 12:05:34,2023-01-24 12:05:34,2023-01-24 12:05:34,Bar/Restaurant/Small venue
KW Institute for Contemporary Art,kw-institute-for-contemporary-art,63ac68190f44f700e16ae0f8,63cfcb187112a9cdc21d6665,2023-01-24 12:12:08,2023-01-24 12:12:08,2023-01-24 12:12:08,Large club/venue
Kwia,kwia,63ac68190f44f700e16ae0f8,63ef6cd060794334aff1fc47,2023-02-17 12:02:24,2023-02-17 12:02:24,2023-02-17 12:02:24,Bar/Restaurant/Small venue
La Casa,la-casa,63ac68190f44f700e16ae0f8,63f50cc2c7237e8c81f25540,2023-02-21 18:26:10,2023-02-21 18:26:10,2023-02-21 18:26:10,Bar/Restaurant/Small venue
Latitude Records,latitude-records,63ac68190f44f700e16ae0f8,63c6b58bf9b097df43092272,2023-01-17 14:49:47,2023-01-17 14:49:47,2023-01-17 14:49:47,Bar/Restaurant/Small venue
Lauschangriff,lauschangriff,63ac68190f44f700e16ae0f8,63c6b7416ffae092580d0d98,2023-01-17 14:57:05,2023-01-17 15:00:21,2023-01-17 15:54:32,Bar/Restaurant/Small venue
Lido Berlin,lido-berlin,63ac68190f44f700e16ae0f8,63cfcce111690037be51b9de,2023-01-24 12:19:45,2023-01-24 12:19:45,2023-01-24 12:19:45,Large club/venue
Lindenpark,lindenpark,63ac68190f44f700e16ae0f8,63f7ae9c4715bfc436164da7,2023-02-23 18:21:16,2023-02-23 18:21:16,2023-02-23 18:21:16,Large club/venue
Livestream/Radio/Online event,livestream-online-event,63ac68190f44f700e16ae0f8,63dba593396e4231fdb00cf3,2023-02-02 11:59:15,2023-02-02 12:03:59,2023-02-02 12:04:05,Not a venue
Lobe Block,lobe-block,63ac68190f44f700e16ae0f8,63cfdcf891227377b3bbaea8,2023-01-24 13:28:24,2023-01-24 13:28:24,2023-01-24 13:28:24,Large club/venue
